时间,策略权益,策略单位净值,基准单位净值
2025-06-09,747806.5502,0.747807,1.1323583368751902
2025-06-10,747806.5502,0.747807,1.1265932344516274
2025-06-11,747806.5502,0.747807,1.1350919421147077
2025-06-12,747806.5502,0.747807,1.1343848822796379
2025-06-13,747806.5502,0.747807,1.1262193029724872
2025-06-16,747806.5502,0.747807,1.1290209911375908
2025-06-17,747806.5502,0.747807,1.1280252492058036
2025-06-18,747806.5502,0.747807,1.1293636499372988
2025-06-19,747806.5502,0.747807,1.120072312460758
2025-06-20,747806.5502,0.747807,1.1211078665827638
2025-06-23,747806.5502,0.747807,1.1243888165750682
2025-06-24,747806.5502,0.747807,1.1378342034453632
2025-06-25,747806.5502,0.747807,1.1541647791579046
2025-06-26,747806.5502,0.747807,1.1500708560807102
2025-06-27,747806.5502,0.747807,1.142999762263517
2025-06-30,747806.5502,0.747807,1.1471737177523809
2025-07-01,747806.5502,0.747807,1.1491214548388555
2025-07-02,747806.5502,0.747807,1.1493904348560797
2025-07-03,747806.5502,0.747807,1.1564967942297621
2025-07-04,747806.5502,0.747807,1.1606166855803715
2025-07-07,747806.5502,0.747807,1.1556536268336959
2025-07-08,749589.3771,0.749589,1.165352558366026
2025-07-09,750974.3771,0.750974,1.1632972176146268
2025-07-10,754784.3771,0.754784,1.168725111369939
2025-07-11,755034.3771,0.755034,1.170119033494089
2025-07-14,753334.3771,0.753334,1.1709528161718166
2025-07-15,747034.3771,0.747034,1.1713598564709338
2025-07-16,747049.3771,0.747049,1.1679025204060063
2025-07-17,749709.3771,0.749709,1.175855952617548
2025-07-18,760034.3771,0.760034,1.1828675613101172
2025-07-21,763034.3771,0.763034,1.190753814093801
2025-07-22,774024.3771,0.774024,1.2004739923952887
2025-07-23,779284.3771,0.779284,1.2007101550434163
2025-07-24,787284.3771,0.787284,1.2092404268368087
2025-07-25,769034.3771,0.769034,1.2028654051565064
2025-07-28,760864.3771,0.760864,1.2053896029386877
2025-07-29,761034.3771,0.761034,1.2101112529213944
2025-07-30,766254.3771,0.766254,1.2098819393689488
2025-07-31,752369.3771,0.752369,1.1878346420789379
2025-08-01,750034.3771,0.750034,1.1818125091242342
2025-08-04,747408.0469,0.747408,1.1864097678713235
2025-08-05,747408.0469,0.747408,1.1959541138568601
2025-08-06,747408.0469,0.747408,1.198878881728621
2025-08-07,747408.0469,0.747408,1.1992230269278172
2025-08-08,747408.0469,0.747408,1.1963962156968508
2025-08-11,747408.0469,0.747408,1.2015093425016785
2025-08-12,747408.0469,0.747408,1.2077215014301932
2025-08-13,747408.0469,0.747408,1.2172672172348662
2025-08-14,747408.0469,0.747408,1.216315775836851
2025-08-15,747408.0469,0.747408,1.2247795676844977
2025-08-18,747408.0469,0.747408,1.2355805041394916
2025-08-19,747408.0469,0.747408,1.2309060983444453
2025-08-20,747408.0469,0.747408,1.2449020650722964
2025-08-21,747408.0469,0.747408,1.2497619793525123
2025-08-22,752682.4554,0.752682,1.2759712826453038
2025-08-25,763234.4554,0.763234,1.3025585977295568
2025-08-26,759746.4554,0.759746,1.2977114198528006
2025-08-27,746302.4554,0.746302,1.2783404577043713
2025-08-28,745542.4554,0.745542,1.3009731923771957
2025-08-29,759102.4554,0.759102,1.310584397194622
2025-09-01,757542.4554,0.757542,1.3184395813144896
2025-09-02,763622.4554,0.763622,1.308746420509585
2025-09-03,759322.4554,0.759322,1.2998212619187746
2025-09-04,756166.4554,0.756166,1.2722438590498077
2025-09-05,760302.4554,0.760302,1.299965617539677
2025-09-08,767594.4554,0.767594,1.302078170098836
2025-09-09,769102.4554,0.769102,1.2929514149342753
2025-09-10,775906.4554,0.775906,1.2956055123737074
2025-09-11,776502.4554,0.776502,1.3255286576509835
2025-09-12,773502.4554,0.773502,1.3179402968118274
2025-09-15,773142.4554,0.773142,1.3211630732084683
2025-09-16,767094.4554,0.767094,1.3183304621049883
2025-09-17,764302.4554,0.764302,1.326399658606097
2025-09-18,754286.4554,0.754286,1.3109778267376397
2025-09-19,754290.4554,0.75429,1.3120884003161777
2025-09-22,748442.4554,0.748442,1.3181180818486753
2025-09-23,745968.7497,0.745969,1.3172933050031421
2025-09-24,745968.7497,0.745969,1.3307853531593379
2025-09-25,745968.7497,0.745969,1.3387759745031775
2025-09-26,745968.7497,0.745969,1.326115698013637
2025-09-29,745968.7497,0.745969,1.346518454567719
2025-09-30,745968.7497,0.745969,1.3525342047481488
2025-10-09,745968.7497,0.745969,1.3725826736124074
2025-10-10,745968.7497,0.745969,1.345580361620011
2025-10-13,745968.7497,0.745969,1.338919076885296
2025-10-14,745968.7497,0.745969,1.3229143141115942
2025-10-15,745968.7497,0.745969,1.3425066623485304
2025-10-16,745968.7497,0.745969,1.3460430981823113
2025-10-17,745968.7497,0.745969,1.3156776179043403
2025-10-20,745968.7497,0.745969,1.3226682421335438
2025-10-21,746513.8946,0.746514,1.3429682039622224
2025-10-22,745089.8946,0.74509,1.3385085683207056
2025-10-23,748801.8946,0.748802,1.3425232167585188
2025-10-24,741609.8946,0.74161,1.3583603078409119
2025-10-27,737773.8946,0.737774,1.3744877714351267
2025-10-28,739609.8946,0.73961,1.3674796601531185
2025-10-29,734369.8946,0.73437,1.3837615052785106
2025-10-30,729026.5687,0.729027,1.372707706039961
2025-10-31,729026.5687,0.729027,1.3525266561703546
2025-11-03,729026.5687,0.729027,1.3562383414183266
2025-11-04,729026.5687,0.729027,1.3461238883662687
2025-11-05,729026.5687,0.729027,1.348618124997978
2025-11-06,729026.5687,0.729027,1.367896493201806
2025-11-07,729026.5687,0.729027,1.36363874558492
2025-11-10,729026.5687,0.729027,1.368376658526735
2025-11-11,729026.5687,0.729027,1.3558777292444057
2025-11-12,729026.5687,0.729027,1.3540539462172285
2025-11-13,731570.0909,0.73157,1.3704235472026123
2025-11-14,726058.0909,0.726058,1.3488754178349112
2025-11-17,731818.0909,0.731818,1.3401064477707345
2025-11-18,733818.0909,0.733818,1.3314038119268636
2025-11-19,731822.0909,0.731822,1.3372617997459073
2025-11-20,730262.0909,0.730262,1.33045819954645
2025-11-21,730058.0909,0.730058,1.298007854542928
2025-11-24,724218.0909,0.724218,1.2963874459398692
2025-11-25,721278.0909,0.721278,1.3087324017222532
2025-11-26,723078.0909,0.723078,1.3166659278386856
2025-11-27,722338.0909,0.722338,1.3160180908224477
2025-11-28,720688.0631,0.720688,1.3192995071361604
2025-12-01,720688.0631,0.720688,1.3338207557851762
2025-12-02,720688.0631,0.720688,1.3273648564856522
2025-12-03,720688.0631,0.720688,1.3205781021470633
2025-12-04,720688.0631,0.720688,1.3251007786139406
2025-12-05,720688.0631,0.720688,1.3361672851108617
2025-12-08,720688.0631,0.720688,1.347014416530348
2025-12-09,720688.0631,0.720688,1.340156198435964
2025-12-10,720688.0631,0.720688,1.3382921077520717
2025-12-11,720688.0631,0.720688,1.326738266238572
2025-12-12,720688.0631,0.720688,1.3351219090941973
2025-12-15,720688.0631,0.720688,1.3267017765883862
2025-12-16,720688.0631,0.720688,1.3108162172246363
2025-12-17,720688.0631,0.720688,1.3348085993981131
2025-12-18,720688.0631,0.720688,1.3269154100834835
2025-12-19,720688.0631,0.720688,1.3313995275989265
2025-12-22,720688.0631,0.720688,1.3440617276642757
2025-12-23,719795.5989,0.719796,1.346717020052316
2025-12-24,717011.5989,0.717012,1.350600457303918
2025-12-25,722319.5989,0.72232,1.3530711155594288
2025-12-26,722303.5989,0.722304,1.3573566967353625
2025-12-29,717451.5989,0.717452,1.3521490815552133
2025-12-30,712539.5989,0.71254,1.3556201741016807
2025-12-31,707523.5989,0.707524,1.3493999419837879
2026-01-05,727051.5989,0.727052,1.3749911362501097
2026-01-06,727855.5989,0.727856,1.3962519241951417
2026-01-07,725995.5989,0.725996,1.3921634512494048
2026-01-08,721571.5989,0.721572,1.380793311225618
2026-01-09,724291.5989,0.724292,1.3869920342685613
2026-01-12,725943.5989,0.725944,1.3960250879751768
2026-01-13,721051.5989,0.721052,1.3876070830607903
2026-01-14,715855.5989,0.715856,1.3820398466397126
2026-01-15,712207.5989,0.712208,1.3848082511143114
2026-01-16,713368.9243,0.713369,1.3791084919780623
2026-01-19,713368.9243,0.713369,1.3798612513111284
2026-01-20,713368.9243,0.713369,1.3753212043717982
2026-01-21,713368.9243,0.713369,1.3765426750102059
2026-01-22,713368.9243,0.713369,1.376729174428368
2026-01-23,713368.9243,0.713369,1.3705467726347094
2026-01-26,713368.9243,0.713369,1.3718488002963707
2026-01-27,713368.9243,0.713369,1.371478016486735
2026-01-28,713368.9243,0.713369,1.375062745731345
2026-01-29,713368.9243,0.713369,1.3855195078420544
2026-01-30,713368.9243,0.713369,1.3716669640922898
2026-02-02,713368.9243,0.713369,1.3424168954774665
2026-02-03,713368.9243,0.713369,1.3581924029888988
2026-02-04,728596.5461,0.728597,1.3694353538486193
2026-02-05,740596.5461,0.740597,1.3611976695937371
2026-02-06,724600.5461,0.724601,1.3533801117824877
2026-02-09,728580.5461,0.728581,1.3753729951931881
2026-02-10,720516.5461,0.720517,1.376900110369534
2026-02-11,720328.5461,0.720329,1.3738465503538666
2026-02-12,713236.5461,0.713237,1.3755251616976771
2026-02-13,712716.5461,0.712717,1.358279313641338
2026-02-24,705316.5461,0.705317,1.3720178418068159
